(0.9999999999999993+0j),1.0
(0.8573909638636242+1.3488264773113071e-18j),0.999
(0.7426036068484819+2.4689173008558315e-18j),0.998
(0.6497881222902502+2.5769401063175108e-18j),0.997
(0.5743867548555103+4.331079869920845e-18j),0.996
(0.5128396894204089+4.2988504236158055e-18j),0.995
(0.4623590318068804-2.699977220685804e-18j),0.994
(0.4207550275440032+6.969938658791483e-19j),0.993
(0.38630233243639495+6.212806411407871e-19j),0.992
(0.3576369863092397+2.282501715787488e-18j),0.991
(0.33367692827240586+2.214161725888251e-18j),0.99
(0.31356057225247774-1.3170915546966204e-18j),0.989
(0.29659924966982126-1.3719626164371793e-18j),0.988
(0.28224031181484455+1.1820203851751992e-18j),0.987
(0.2700384377768842+2.728504864071479e-19j),0.986
(0.25963326903152356+2.3671729093889123e-19j),0.985
