(0.9999999999999999+0j),1.0
(0.8878039572954732-3.699839913606784e-18j),0.9998
(0.7902858603507426-8.036648603548802e-18j),0.9996
(0.7053605481129671+4.6349642873755315e-18j),0.9994
(0.6312571089477603-3.4558944247975454e-18j),0.9992
(0.5664694118089357-7.453889935837843e-20j),0.999
(0.5097146832543078-2.710505431213761e-20j),0.9988
(0.45989878866704664-9.75781955236954e-19j),0.9986
(0.41608710415835715-2.5614276324970042e-18j),0.9984
(0.37748005434586945-1.4230153513872246e-18j),0.9982
(0.3433925474163362+1.5449880957918438e-18j),0.998
(0.3132366682657241-8.402566836762659e-19j),0.9978
(0.28650709773344174-1.5043305143236374e-18j),0.9976
(0.2627688148622829+5.014435047745458e-19j),0.9974
(0.2416467128921636-2.1412992906588713e-18j),0.9972
(0.22281682095043703+8.131516293641283e-20j),0.997
(0.20599887429359792+3.2526065174565133e-19j),0.9968
(0.19095001826444666+8.944667923005412e-19j),0.9966
(0.17745946632807147+1.7618285302889447e-19j),0.9964
(0.16534396185380912-6.640738306473715e-19j),0.9962
(0.15444391772370797+2.439454888092385e-19j),0.996
(0.14462012820250694-6.911788849595091e-19j),0.9958
(0.1357509644865505+5.692061405548898e-19j),0.9956
(0.1277299795297709+1.6534083130403943e-18j),0.9954
(0.12046385959497763+2.303929616531697e-19j),0.9952
