(1+0j),0.0
(0.9994509238742085-1.734723475976807e-18j),0.01
(0.9978057809757399+7.806255641895632e-18j),0.02
(0.995070816837271+0j),0.03
(0.9912564043998113+5.204170427930421e-18j),0.04
(0.9863769898254741+1.734723475976807e-18j),0.05
(0.9804510170996263+5.204170427930421e-18j),0.06
(0.9735008318829097-3.469446951953614e-18j),0.07
(0.9655525651998103+0j),0.08
(0.9566359976726904+3.469446951953614e-18j),0.09
(0.9467844051276018+6.938893903907228e-18j),0.1
(0.9360343865100449+3.469446951953614e-18j),0.11
(0.924425675154336+3.469446951953614e-18j),0.12
(0.9120009345486965-6.938893903907228e-18j),0.13
(0.89880553982897-6.938893903907228e-18j),0.14
(0.8848873463163557+0j),0.15
